,ISO3,year,Drought,Heat wave,Wildfire,Flood
0,AFG,1960,0,0,0,0
1,AFG,1961,0,0,0,0
2,AFG,1962,0,0,0,0
3,AFG,1963,0,0,0,1
4,AFG,1964,0,0,0,0
5,AFG,1965,0,0,0,0
6,AFG,1966,0,0,0,0
7,AFG,1967,0,0,0,0
8,AFG,1968,0,0,0,0
9,AFG,1969,1,0,0,0
10,AFG,1970,0,0,0,0
11,AFG,1971,1,0,0,0
12,AFG,1972,0,0,0,1
13,AFG,1973,0,0,0,0
14,AFG,1974,0,0,0,0
15,AFG,1975,0,0,0,0
16,AFG,1976,0,0,0,1
17,AFG,1977,0,0,0,0
18,AFG,1978,0,0,0,1
19,AFG,1979,0,0,0,0
20,AFG,1980,0,0,0,1
21,AFG,1981,0,0,0,0
22,AFG,1982,0,0,0,0
23,AFG,1983,0,0,0,0
24,AFG,1984,0,0,0,0
25,AFG,1985,0,0,0,0
26,AFG,1986,0,0,0,0
27,AFG,1987,0,0,0,0
28,AFG,1988,0,0,0,1
29,AFG,1989,0,0,0,0
30,AFG,1990,0,0,0,0
31,AFG,1991,0,0,0,1
32,AFG,1992,0,0,0,1
33,AFG,1993,0,0,0,0
34,AFG,1994,0,0,0,0
35,AFG,1995,0,0,0,1
36,AFG,1996,0,0,0,1
37,AFG,1997,0,0,0,1
38,AFG,1998,0,0,0,1
39,AFG,1999,0,0,1,1
40,AFG,2000,1,0,0,0
41,AFG,2001,0,0,0,0
42,AFG,2002,0,0,0,1
43,AFG,2003,0,0,0,1
44,AFG,2004,0,0,0,1
45,AFG,2005,0,0,0,1
46,AFG,2006,1,0,0,1
47,AFG,2007,0,0,0,1
48,AFG,2008,1,0,0,1
49,AFG,2009,0,0,0,1
50,AFG,2010,0,0,0,1
51,AFG,2011,1,0,0,1
52,AFG,2012,0,0,0,1
53,AFG,2013,0,0,0,1
54,AFG,2014,0,0,0,1
55,AFG,2015,0,0,0,1
56,AFG,2016,0,0,0,1
57,AFG,2017,0,0,0,1
58,AFG,2018,1,0,0,1
59,AFG,2019,0,0,0,1
60,AFG,2020,0,0,0,1
61,AFG,2021,1,0,0,1
62,AFG,2022,0,0,0,1
63,AFG,2023,0,0,0,1
64,AFG,2024,0,0,0,1
65,AGO,1960,0,0,0,0
66,AGO,1961,0,0,0,0
67,AGO,1962,0,0,0,0
68,AGO,1963,0,0,0,0
69,AGO,1964,0,0,0,0
70,AGO,1965,0,0,0,0
71,AGO,1966,0,0,0,0
72,AGO,1967,0,0,0,0
73,AGO,1968,0,0,0,0
74,AGO,1969,0,0,0,0
75,AGO,1970,0,0,0,0
76,AGO,1971,0,0,0,0
77,AGO,1972,0,0,0,0
78,AGO,1973,0,0,0,0
79,AGO,1974,0,0,0,0
80,AGO,1975,0,0,0,0
81,AGO,1976,0,0,0,0
82,AGO,1977,0,0,0,0
83,AGO,1978,0,0,0,0
84,AGO,1979,0,0,0,0
85,AGO,1980,0,0,0,0
86,AGO,1981,1,0,0,0
87,AGO,1982,0,0,0,0
88,AGO,1983,0,0,0,0
89,AGO,1984,0,0,0,0
90,AGO,1985,1,0,0,0
91,AGO,1986,0,0,0,0
92,AGO,1987,0,0,0,0
93,AGO,1988,0,0,0,0
94,AGO,1989,1,0,0,1
95,AGO,1990,0,0,0,0
96,AGO,1991,0,0,0,0
97,AGO,1992,0,0,0,0
98,AGO,1993,0,0,0,0
99,AGO,1994,0,0,0,0
100,AGO,1995,0,0,0,0
101,AGO,1996,0,0,0,0
102,AGO,1997,1,0,0,0
103,AGO,1998,0,0,0,0
104,AGO,1999,0,0,0,0
105,AGO,2000,0,0,0,1
106,AGO,2001,1,0,0,1
107,AGO,2002,0,0,0,1
108,AGO,2003,0,0,0,1
109,AGO,2004,1,0,0,1
110,AGO,2005,0,0,0,1
111,AGO,2006,0,0,0,1
112,AGO,2007,0,0,0,1
113,AGO,2008,0,0,0,1
114,AGO,2009,0,0,0,1
115,AGO,2010,0,0,0,1
116,AGO,2011,0,0,0,1
117,AGO,2012,1,0,0,0
118,AGO,2013,0,0,0,1
119,AGO,2014,0,0,0,0
120,AGO,2015,0,0,0,1
121,AGO,2016,0,0,0,1
122,AGO,2017,1,0,0,1
123,AGO,2018,0,0,0,1
124,AGO,2019,0,0,0,1
125,AGO,2020,1,0,0,1
126,AGO,2021,0,0,0,1
127,AGO,2022,0,0,0,0
128,AGO,2023,0,0,0,1
129,AGO,2024,0,0,0,0
130,ALB,1960,0,0,0,0
131,ALB,1961,0,0,0,0
132,ALB,1962,0,0,0,0
133,ALB,1963,0,0,0,0
134,ALB,1964,0,0,0,0
135,ALB,1965,0,0,0,0
136,ALB,1966,0,0,0,0
137,ALB,1967,0,0,0,0
138,ALB,1968,0,0,0,0
139,ALB,1969,0,0,0,0
140,ALB,1970,0,0,0,0
141,ALB,1971,0,0,0,0
142,ALB,1972,0,0,0,0
143,ALB,1973,0,0,0,0
144,ALB,1974,0,0,0,0
145,ALB,1975,0,0,0,0
146,ALB,1976,0,0,0,0
147,ALB,1977,0,0,0,0
148,ALB,1978,0,0,0,0
149,ALB,1979,0,0,0,0
150,ALB,1980,0,0,0,0
151,ALB,1981,0,0,0,0
152,ALB,1982,0,0,0,0
153,ALB,1983,0,0,0,0
154,ALB,1984,0,0,0,0
155,ALB,1985,0,0,0,0
156,ALB,1986,0,0,0,0
157,ALB,1987,0,0,0,0
158,ALB,1988,0,0,0,0
159,ALB,1989,1,0,0,0
160,ALB,1990,0,0,0,0
161,ALB,1991,0,0,0,0
162,ALB,1992,0,0,0,1
163,ALB,1993,0,0,0,0
164,ALB,1994,0,0,0,0
165,ALB,1995,0,0,0,1
166,ALB,1996,0,0,0,0
167,ALB,1997,0,0,0,1
168,ALB,1998,0,0,0,0
169,ALB,1999,0,0,0,0
170,ALB,2000,0,0,0,0
171,ALB,2001,0,0,0,0
172,ALB,2002,0,0,0,1
173,ALB,2003,0,0,0,0
174,ALB,2004,0,1,0,1
175,ALB,2005,0,0,0,1
176,ALB,2006,0,0,0,0
177,ALB,2007,0,1,1,0
178,ALB,2008,0,0,0,0
179,ALB,2009,0,0,0,1
180,ALB,2010,0,0,0,1
181,ALB,2011,0,0,0,0
182,ALB,2012,0,0,0,0
183,ALB,2013,0,0,0,0
184,ALB,2014,0,0,0,0
185,ALB,2015,0,0,0,1
186,ALB,2016,0,0,0,1
187,ALB,2017,0,0,0,1
188,ALB,2018,0,0,0,1
189,ALB,2019,0,0,0,0
190,ALB,2020,0,0,0,0
191,ALB,2021,0,0,0,1
192,ALB,2022,0,1,0,0
193,ALB,2023,0,0,0,0
194,ALB,2024,0,0,0,0
195,ARE,1960,0,0,0,0
196,ARE,1961,0,0,0,0
197,ARE,1962,0,0,0,0
198,ARE,1963,0,0,0,0
199,ARE,1964,0,0,0,0
200,ARE,1965,0,0,0,0
201,ARE,1966,0,0,0,0
202,ARE,1967,0,0,0,0
203,ARE,1968,0,0,0,0
204,ARE,1969,0,0,0,0
205,ARE,1970,0,0,0,0
206,ARE,1971,0,0,0,0
207,ARE,1972,0,0,0,0
208,ARE,1973,0,0,0,0
209,ARE,1974,0,0,0,0
210,ARE,1975,0,0,0,0
211,ARE,1976,0,0,0,0
212,ARE,1977,0,0,0,0
213,ARE,1978,0,0,0,0
214,ARE,1979,0,0,0,0
215,ARE,1980,0,0,0,0
216,ARE,1981,0,0,0,0
217,ARE,1982,0,0,0,0
218,ARE,1983,0,0,0,0
219,ARE,1984,0,0,0,0
220,ARE,1985,0,0,0,0
221,ARE,1986,0,0,0,0
222,ARE,1987,0,0,0,0
223,ARE,1988,0,0,0,0
224,ARE,1989,0,0,0,0
225,ARE,1990,0,0,0,0
226,ARE,1991,0,0,0,0
227,ARE,1992,0,0,0,0
228,ARE,1993,0,0,0,0
229,ARE,1994,0,0,0,0
230,ARE,1995,0,0,0,0
231,ARE,1996,0,0,0,0
232,ARE,1997,0,0,0,0
233,ARE,1998,0,0,0,0
234,ARE,1999,0,0,0,0
235,ARE,2000,0,0,0,0
236,ARE,2001,0,0,0,0
237,ARE,2002,0,0,0,0
238,ARE,2003,0,0,0,0
239,ARE,2004,0,0,0,0
240,ARE,2005,0,0,0,0
241,ARE,2006,0,0,0,0
242,ARE,2007,0,0,0,0
243,ARE,2008,0,0,0,0
244,ARE,2009,0,0,0,0
245,ARE,2010,0,0,0,0
246,ARE,2011,0,0,0,0
247,ARE,2012,0,0,0,0
248,ARE,2013,0,0,0,0
249,ARE,2014,0,0,0,0
250,ARE,2015,0,0,0,0
251,ARE,2016,0,0,0,0
252,ARE,2017,0,0,0,1
253,ARE,2018,0,0,0,0
254,ARE,2019,0,0,0,0
255,ARE,2020,0,0,0,0
256,ARE,2021,0,0,0,0
257,ARE,2022,0,0,0,0
258,ARE,2023,0,0,0,0
259,ARE,2024,0,0,0,1
260,ARG,1960,0,0,0,0
261,ARG,1961,0,0,0,0
262,ARG,1962,0,0,0,0
263,ARG,1963,0,0,0,0
264,ARG,1964,0,0,0,0
265,ARG,1965,0,0,0,0
266,ARG,1966,0,0,0,1
267,ARG,1967,0,0,0,1
268,ARG,1968,0,0,0,0
269,ARG,1969,0,0,0,0
270,ARG,1970,0,0,0,1
271,ARG,1971,0,0,0,0
272,ARG,1972,0,1,0,0
273,ARG,1973,0,0,0,0
274,ARG,1974,0,0,0,0
275,ARG,1975,0,0,0,0
276,ARG,1976,0,0,0,0
277,ARG,1977,0,0,0,1
278,ARG,1978,0,0,0,1
279,ARG,1979,0,0,0,1
280,ARG,1980,0,0,0,1
281,ARG,1981,0,0,0,0
282,ARG,1982,0,0,0,1
283,ARG,1983,0,0,0,1
284,ARG,1984,0,0,0,0
