,ISO3,year,TFP
0,AFG,1961,71.43160237
1,AFG,1962,70.27215653
2,AFG,1963,67.34598208
3,AFG,1964,71.04730534
4,AFG,1965,69.73204318
5,AFG,1966,67.94410588
6,AFG,1967,68.49485208
7,AFG,1968,68.91150034
8,AFG,1969,68.59141085
9,AFG,1970,61.93354697
10,AFG,1971,57.09465763
11,AFG,1972,63.42919669
12,AFG,1973,68.14372967
13,AFG,1974,66.09607921
14,AFG,1975,66.06742871
15,AFG,1976,68.54384789
16,AFG,1977,60.39994274
17,AFG,1978,65.0115697
18,AFG,1979,65.98545093
19,AFG,1980,66.40502605
20,AFG,1981,68.60264333
21,AFG,1982,67.91830641
22,AFG,1983,68.4326551
23,AFG,1984,66.58804583
24,AFG,1985,66.06575254
25,AFG,1986,64.70996217
26,AFG,1987,65.08230083
27,AFG,1988,68.96366423
28,AFG,1989,68.69215848
29,AFG,1990,76.63668078
30,AFG,1991,87.4599761
31,AFG,1992,85.56405433
32,AFG,1993,85.35947747
33,AFG,1994,91.59894401
34,AFG,1995,92.53748388
35,AFG,1996,98.14058089
36,AFG,1997,104.8564285
37,AFG,1998,108.7484967
38,AFG,1999,110.0037063
39,AFG,2000,100.30583
40,AFG,2001,89.19289898
41,AFG,2002,98.27264198
42,AFG,2003,103.5017697
43,AFG,2004,95.40880067
44,AFG,2005,94.71342733
45,AFG,2006,87.26087396
46,AFG,2007,96.73596246
47,AFG,2008,92.32835794
48,AFG,2009,103.6628846
49,AFG,2010,98.36664617
50,AFG,2011,94.44835655
51,AFG,2012,102.9908222
52,AFG,2013,97.08078982
53,AFG,2014,106.9867342
54,AFG,2015,100.0
55,AFG,2016,114.4769469
56,AFG,2017,112.3599362
57,AFG,2018,108.4985697
58,AFG,2019,136.9615958
59,AFG,2020,144.3013482
60,AFG,2021,135.3972506
61,AGO,1961,83.32193377
62,AGO,1962,82.54886356
63,AGO,1963,79.58690291
64,AGO,1964,81.85089622
65,AGO,1965,81.80988875
66,AGO,1966,82.68886674
67,AGO,1967,80.82436331
68,AGO,1968,76.36370145
69,AGO,1969,77.19156397
70,AGO,1970,77.06700625
71,AGO,1971,74.48615677
72,AGO,1972,71.82872805
73,AGO,1973,71.28257072
74,AGO,1974,71.86133688
75,AGO,1975,68.13923237
76,AGO,1976,58.20143238
77,AGO,1977,52.20100552
78,AGO,1978,49.95865627
79,AGO,1979,47.25298377
80,AGO,1980,48.31772447
81,AGO,1981,45.22341392
82,AGO,1982,45.81797742
83,AGO,1983,45.01605779
84,AGO,1984,45.31459941
85,AGO,1985,43.91491341
86,AGO,1986,44.72308735
87,AGO,1987,45.0570117
88,AGO,1988,44.88784616
89,AGO,1989,44.48269833
90,AGO,1990,45.68106109
91,AGO,1991,47.18838276
92,AGO,1992,48.22431768
93,AGO,1993,47.21398837
94,AGO,1994,52.93285593
95,AGO,1995,52.61727006
96,AGO,1996,55.9245418
97,AGO,1997,55.65551395
98,AGO,1998,58.47532337
99,AGO,1999,56.23906716
100,AGO,2000,60.80050489
101,AGO,2001,66.02153337
102,AGO,2002,71.32718472
103,AGO,2003,74.72285255
104,AGO,2004,74.24262753
105,AGO,2005,79.37362464
106,AGO,2006,78.51869262
107,AGO,2007,86.56941141
108,AGO,2008,92.79030868
109,AGO,2009,101.9400189
110,AGO,2010,104.6879565
111,AGO,2011,104.6132643
112,AGO,2012,97.06897112
113,AGO,2013,110.0691069
114,AGO,2014,99.41944854
115,AGO,2015,100.0
116,AGO,2016,94.54410507
117,AGO,2017,91.65203318
118,AGO,2018,91.53837963
119,AGO,2019,92.10542161
120,AGO,2020,96.62804866
121,AGO,2021,105.4026443
122,ALB,1961,63.02403378
123,ALB,1962,63.22429209
124,ALB,1963,59.45582382
125,ALB,1964,65.53546733
126,ALB,1965,61.89113115
127,ALB,1966,58.75105412
128,ALB,1967,58.79151491
129,ALB,1968,54.06282182
130,ALB,1969,59.22565155
131,ALB,1970,57.45193173
132,ALB,1971,60.39029309
133,ALB,1972,59.38953502
134,ALB,1973,62.14117344
135,ALB,1974,58.18176511
136,ALB,1975,54.30253812
137,ALB,1976,56.15322002
138,ALB,1977,57.03114115
139,ALB,1978,55.22747292
140,ALB,1979,56.2076152
141,ALB,1980,55.88837066
142,ALB,1981,55.74435974
143,ALB,1982,55.6832813
144,ALB,1983,58.56301396
145,ALB,1984,56.66462103
146,ALB,1985,57.81891941
147,ALB,1986,55.63937028
148,ALB,1987,57.11365335
149,ALB,1988,53.26843074
150,ALB,1989,56.02707512
151,ALB,1990,58.9214225
152,ALB,1991,57.86574759
153,ALB,1992,64.37165714
154,ALB,1993,68.76958756
155,ALB,1994,68.36160609
156,ALB,1995,72.97188079
157,ALB,1996,70.80968732
158,ALB,1997,69.6723962
159,ALB,1998,72.87029085
160,ALB,1999,72.38832747
161,ALB,2000,73.85912152
162,ALB,2001,75.9397979
163,ALB,2002,74.120441
164,ALB,2003,78.64955799
165,ALB,2004,80.47109769
166,ALB,2005,80.10985555
167,ALB,2006,81.75646899
168,ALB,2007,85.04811095
169,ALB,2008,85.82964101
170,ALB,2009,87.09416902
171,ALB,2010,100.8998722
172,ALB,2011,100.5133478
173,ALB,2012,108.2180858
174,ALB,2013,112.0252702
175,ALB,2014,99.69173271
176,ALB,2015,100.0
177,ALB,2016,100.336054
178,ALB,2017,102.0446217
179,ALB,2018,105.2406772
180,ALB,2019,99.83376555
181,ALB,2020,106.2217882
182,ALB,2021,102.8892522
183,ARE,1961,496.0987892
184,ARE,1962,497.296459
185,ARE,1963,499.3842999
186,ARE,1964,509.7354591
187,ARE,1965,490.6447503
188,ARE,1966,508.3659486
189,ARE,1967,448.039797
190,ARE,1968,472.386811
191,ARE,1969,446.2298919
192,ARE,1970,391.6128483
193,ARE,1971,366.2949246
194,ARE,1972,231.5323512
195,ARE,1973,182.5665064
196,ARE,1974,217.3886955
197,ARE,1975,164.6949795
198,ARE,1976,127.6310049
199,ARE,1977,150.772184
200,ARE,1978,157.3376843
201,ARE,1979,123.1362232
202,ARE,1980,131.2346658
203,ARE,1981,115.1416675
204,ARE,1982,132.4595336
205,ARE,1983,130.9964073
206,ARE,1984,117.6897435
207,ARE,1985,115.0802764
208,ARE,1986,110.6887619
209,ARE,1987,94.23809587
210,ARE,1988,108.799141
211,ARE,1989,111.8856781
212,ARE,1990,101.4570885
213,ARE,1991,111.5343855
214,ARE,1992,107.0388963
215,ARE,1993,105.5987408
216,ARE,1994,102.1605514
217,ARE,1995,110.2010907
218,ARE,1996,121.0918104
219,ARE,1997,137.4676807
220,ARE,1998,135.2532926
221,ARE,1999,126.6261645
222,ARE,2000,150.9359474
223,ARE,2001,99.45389396
224,ARE,2002,96.87855012
225,ARE,2003,74.60074563
226,ARE,2004,89.20379918
227,ARE,2005,91.0248135
228,ARE,2006,76.73686115
229,ARE,2007,73.42158693
230,ARE,2008,75.30595755
231,ARE,2009,126.0936534
232,ARE,2010,126.6349409
233,ARE,2011,75.97293127
234,ARE,2012,78.57304386
235,ARE,2013,77.83758487
236,ARE,2014,98.80738296
237,ARE,2015,100.0
238,ARE,2016,109.2067
239,ARE,2017,110.7674274
240,ARE,2018,120.4571562
241,ARE,2019,115.4394351
242,ARE,2020,120.8959407
243,ARE,2021,125.4494579
244,ARG,1961,53.08821244
245,ARG,1962,54.2741104
246,ARG,1963,57.72575793
247,ARG,1964,52.7568572
248,ARG,1965,49.57814826
249,ARG,1966,53.75933374
250,ARG,1967,57.11782397
251,ARG,1968,54.77053282
252,ARG,1969,59.37005403
253,ARG,1970,58.29258508
254,ARG,1971,54.21670312
255,ARG,1972,53.84843957
256,ARG,1973,55.69671798
257,ARG,1974,59.2737132
258,ARG,1975,59.8442665
259,ARG,1976,67.24593477
260,ARG,1977,68.53625941
261,ARG,1978,73.95164376
262,ARG,1979,74.68923399
263,ARG,1980,70.20417762
264,ARG,1981,73.28224983
265,ARG,1982,75.11059048
266,ARG,1983,72.07772281
267,ARG,1984,72.74322977
268,ARG,1985,73.02135677
269,ARG,1986,73.53354076
270,ARG,1987,69.21250998
271,ARG,1988,71.02813708
272,ARG,1989,66.34712851
273,ARG,1990,74.02447541
274,ARG,1991,77.31707218
275,ARG,1992,73.43916915
276,ARG,1993,71.3575605
277,ARG,1994,72.48877776
278,ARG,1995,80.49590435
279,ARG,1996,74.939087
280,ARG,1997,78.53864256
281,ARG,1998,82.63450388
282,ARG,1999,84.67109374
283,ARG,2000,85.10660498
284,ARG,2001,86.78757835
285,ARG,2002,86.79512545
286,ARG,2003,80.28758013
287,ARG,2004,77.92238602
288,ARG,2005,89.2006921
289,ARG,2006,83.68704451
290,ARG,2007,85.98365713
291,ARG,2008,94.71045118
292,ARG,2009,89.95770691
293,ARG,2010,87.88019836
294,ARG,2011,88.64991477
295,ARG,2012,84.88466612
296,ARG,2013,88.07486605
297,ARG,2014,87.79052738
298,ARG,2015,100.0
299,ARG,2016,89.33086878
300,ARG,2017,91.92939429
301,ARG,2018,82.59360933
302,ARG,2019,92.1058875
303,ARG,2020,89.49682743
304,ARG,2021,89.5821978
305,ARM,1961,75.60725674
306,ARM,1962,66.69857376
307,ARM,1963,67.79017496
308,ARM,1964,63.63854287
309,ARM,1965,62.63430989
310,ARM,1966,62.58721879
311,ARM,1967,65.15048216
312,ARM,1968,64.87478178
313,ARM,1969,59.43378082
314,ARM,1970,58.29111279
315,ARM,1971,55.06166586
316,ARM,1972,54.54372477
317,ARM,1973,56.7856414
318,ARM,1974,56.24778893
319,ARM,1975,53.32506179
320,ARM,1976,49.50590758
321,ARM,1977,50.19604025
322,ARM,1978,54.39280752
323,ARM,1979,55.23088702
324,ARM,1980,53.05996179
325,ARM,1981,59.22460581
326,ARM,1982,58.67426291
327,ARM,1983,49.42911481
328,ARM,1984,58.72161072
329,ARM,1985,54.57590559
330,ARM,1986,54.65496342
331,ARM,1987,55.58124491
332,ARM,1988,54.09307156
333,ARM,1989,53.64178885
334,ARM,1990,59.44463936
335,ARM,1991,58.70672309
336,ARM,1992,59.6371205
337,ARM,1993,61.26695043
338,ARM,1994,69.28953438
339,ARM,1995,67.79938687
340,ARM,1996,67.57146177
341,ARM,1997,60.4860845
342,ARM,1998,62.77926497
343,ARM,1999,62.92695097
344,ARM,2000,60.92403181
345,ARM,2001,64.61928894
346,ARM,2002,64.76812452
347,ARM,2003,69.45186306
348,ARM,2004,74.13463686
349,ARM,2005,86.56134225
350,ARM,2006,79.26238914
351,ARM,2007,82.04901445
352,ARM,2008,91.91341133
353,ARM,2009,82.82522296
354,ARM,2010,75.20414679
355,ARM,2011,78.64604481
356,ARM,2012,84.2115052
357,ARM,2013,88.55369035
358,ARM,2014,91.98868683
359,ARM,2015,100.0
360,ARM,2016,152.1773441
361,ARM,2017,162.4628641
362,ARM,2018,122.7909993
363,ARM,2019,125.1209524
364,ARM,2020,129.3108781
365,ARM,2021,127.1849762
366,AUS,1961,51.3182668
367,AUS,1962,55.76748865
368,AUS,1963,55.91136301
369,AUS,1964,57.1220302
370,AUS,1965,54.31610533
371,AUS,1966,57.35026686
372,AUS,1967,53.04699488
373,AUS,1968,57.58613362
374,AUS,1969,56.18077548
375,AUS,1970,59.13056092
376,AUS,1971,60.99729255
377,AUS,1972,60.46644164
378,AUS,1973,62.41233489
379,AUS,1974,60.41420306
380,AUS,1975,67.02345962
381,AUS,1976,68.64605984
382,AUS,1977,68.05605787
383,AUS,1978,75.6606256
384,AUS,1979,72.33065838
385,AUS,1980,65.3163072
386,AUS,1981,68.71296606
387,AUS,1982,63.9663816
388,AUS,1983,74.6804886
389,AUS,1984,69.9433768
390,AUS,1985,71.12234989
391,AUS,1986,73.93424215
392,AUS,1987,73.59804612
393,AUS,1988,76.87716464
394,AUS,1989,77.01944362
395,AUS,1990,82.55267384
396,AUS,1991,83.26527724
397,AUS,1992,81.16936543
398,AUS,1993,84.3155713
399,AUS,1994,84.96645143
400,AUS,1995,77.45568665
401,AUS,1996,81.98071244
402,AUS,1997,87.83595142
403,AUS,1998,87.10460974
404,AUS,1999,90.67739532
405,AUS,2000,92.73846461
406,AUS,2001,90.44792506
407,AUS,2002,93.55189694
408,AUS,2003,76.41130559
409,AUS,2004,92.03534874
410,AUS,2005,88.87384071
411,AUS,2006,93.46748356
412,AUS,2007,78.63494794
413,AUS,2008,82.07250512
414,AUS,2009,88.17532618
415,AUS,2010,87.58041687
416,AUS,2011,88.93866099
417,AUS,2012,95.31458516
418,AUS,2013,97.41125474
419,AUS,2014,97.3588353
420,AUS,2015,100.0
421,AUS,2016,97.35541717
422,AUS,2017,104.1166753
423,AUS,2018,95.87150597
424,AUS,2019,87.11874644
425,AUS,2020,84.01403111
426,AUS,2021,100.183314
427,AUT,1961,80.01796366
428,AUT,1962,75.08611287
429,AUT,1963,77.4101064
430,AUT,1964,76.90463789
431,AUT,1965,67.39426864
432,AUT,1966,80.81816989
433,AUT,1967,74.92911171
434,AUT,1968,79.53514332
435,AUT,1969,76.11804364
436,AUT,1970,76.06064499
437,AUT,1971,72.42017958
438,AUT,1972,72.12903547
439,AUT,1973,74.486237
440,AUT,1974,78.32117876
441,AUT,1975,81.69690238
442,AUT,1976,76.99909469
443,AUT,1977,76.58070825
444,AUT,1978,77.9507128
445,AUT,1979,78.66395579
446,AUT,1980,81.07196012
447,AUT,1981,79.71418782
448,AUT,1982,90.42611881
449,AUT,1983,84.43765341
450,AUT,1984,85.78285005
451,AUT,1985,83.30531685
452,AUT,1986,90.25897733
453,AUT,1987,91.1137064
454,AUT,1988,92.67875478
455,AUT,1989,93.34373699
456,AUT,1990,91.28166631
457,AUT,1991,92.21499218
458,AUT,1992,91.86170375
459,AUT,1993,93.79799417
460,AUT,1994,92.70404046
461,AUT,1995,92.99837355
462,AUT,1996,92.07028282
463,AUT,1997,88.53033526
464,AUT,1998,92.63153731
465,AUT,1999,101.7797237
466,AUT,2000,98.85814755
467,AUT,2001,100.1129245
468,AUT,2002,99.66917867
469,AUT,2003,101.0345671
470,AUT,2004,102.0124289
471,AUT,2005,98.03182234
472,AUT,2006,98.20133727
473,AUT,2007,99.90371032
474,AUT,2008,98.21926077
475,AUT,2009,108.0265282
476,AUT,2010,102.4346171
477,AUT,2011,106.2241677
478,AUT,2012,108.2230689
479,AUT,2013,103.1438289
480,AUT,2014,101.1919979
481,AUT,2015,100.0
482,AUT,2016,102.0735997
483,AUT,2017,105.1413741
484,AUT,2018,108.1454562
485,AUT,2019,107.9011622
486,AUT,2020,107.722788
487,AUT,2021,107.346739
488,AZE,1961,133.7600301
489,AZE,1962,113.8895005
490,AZE,1963,109.0827796
491,AZE,1964,115.5619633
492,AZE,1965,112.8393122
493,AZE,1966,108.6725834
494,AZE,1967,119.267255
495,AZE,1968,119.050289
496,AZE,1969,111.5049426
497,AZE,1970,113.0281047
498,AZE,1971,100.7006476
499,AZE,1972,98.89983668
500,AZE,1973,114.5682212
501,AZE,1974,110.6134969
502,AZE,1975,106.0734798
503,AZE,1976,96.48830951
504,AZE,1977,104.9034295
505,AZE,1978,107.4029062
506,AZE,1979,118.0016441
507,AZE,1980,114.0779309
508,AZE,1981,109.3975819
509,AZE,1982,126.3040284
510,AZE,1983,101.4331782
511,AZE,1984,111.0096619
512,AZE,1985,112.6449567
513,AZE,1986,106.5440418
514,AZE,1987,96.87785783
515,AZE,1988,91.93254807
516,AZE,1989,93.72201337
517,AZE,1990,129.4102288
518,AZE,1991,132.5660785
519,AZE,1992,104.2153135
520,AZE,1993,102.3400232
