,ISO3,year,Food,"Cereals, primary",Agriculture,Livestock,Crops
0,AFG,1961,150.2,208.51,156.03,152.11,158.47
1,AFG,1962,148.38,204.36,155.6,151.04,158.45
2,AFG,1963,144.65,182.97,153.55,157.23,151.26
3,AFG,1964,153.4,199.64,160.37,158.73,161.39
4,AFG,1965,157.07,197.96,163.67,164.01,163.46
5,AFG,1966,159.19,177.34,164.96,177.67,157.02
6,AFG,1967,170.48,191.49,176.24,184.48,171.09
7,AFG,1968,173.82,191.46,179.81,193.7,171.14
8,AFG,1969,171.79,192.67,178.67,189.89,171.66
9,AFG,1970,153.51,163.62,159.35,169.73,152.88
10,AFG,1971,140.52,150.76,145.45,161.2,135.61
11,AFG,1972,146.3,175.64,149.26,141.96,153.81
12,AFG,1973,153.33,185.01,158.88,153.07,162.51
13,AFG,1974,154.01,183.54,161.23,155.93,164.54
14,AFG,1975,154.6,184.71,162.67,158.83,165.08
15,AFG,1976,163.17,186.48,170.99,169.75,171.76
16,AFG,1977,143.39,163.82,150.45,164.76,141.52
17,AFG,1978,151.11,169.86,157.2,163.25,153.43
18,AFG,1979,148.81,163.4,153.9,163.78,147.74
19,AFG,1980,155.18,163.3,158.87,173.07,150.01
20,AFG,1981,170.81,172.2,174.68,196.94,160.78
21,AFG,1982,183.71,178.77,187.21,215.23,169.71
22,AFG,1983,180.16,173.53,183.41,211.25,166.02
23,AFG,1984,168.59,161.16,172.26,194.71,158.24
24,AFG,1985,154.03,149.72,157.1,171.19,148.31
25,AFG,1986,141.12,143.36,144.07,146.75,142.4
26,AFG,1987,146.57,157.78,148.32,156.89,142.97
27,AFG,1988,143.15,138.86,145.32,162.58,134.55
28,AFG,1989,138.27,127.32,140.1,164.35,124.96
29,AFG,1990,146.74,120.34,148.07,187.98,123.15
30,AFG,1991,165.73,119.52,168.35,188.96,155.49
31,AFG,1992,148.05,100.33,150.58,173.15,136.5
32,AFG,1993,138.89,105.6,141.02,162.77,127.45
33,AFG,1994,134.99,103.07,136.85,164.14,119.81
34,AFG,1995,134.24,102.08,135.97,168.18,115.86
35,AFG,1996,135.72,97.76,137.36,177.92,112.04
36,AFG,1997,139.85,107.6,141.43,187.33,112.77
37,AFG,1998,142.02,109.6,143.18,193.58,111.71
38,AFG,1999,135.26,87.17,136.96,195.38,100.48
39,AFG,2000,113.66,53.28,115.08,164.45,84.26
40,AFG,2001,102.5,56.6,103.83,131.27,86.7
41,AFG,2002,117.98,93.58,118.37,150.13,98.54
42,AFG,2003,113.99,103.96,113.78,134.29,100.97
43,AFG,2004,107.09,81.97,106.97,139.15,86.88
44,AFG,2005,115.55,118.88,115.39,132.11,104.94
45,AFG,2006,102.65,98.63,102.49,112.46,96.26
46,AFG,2007,110.28,119.75,109.88,112.77,108.07
47,AFG,2008,101.44,82.38,101.41,116.46,92.02
48,AFG,2009,113.37,127.51,113.35,115.66,111.92
49,AFG,2010,109.42,114.15,109.33,116.97,104.56
50,AFG,2011,100.53,88.05,100.63,115.57,91.3
51,AFG,2012,107.34,116.29,107.26,111.85,104.4
52,AFG,2013,101.01,116.08,101.02,102.81,99.9
53,AFG,2014,104.98,116.02,104.83,107.28,103.3
54,AFG,2015,95.76,95.67,95.83,96.41,95.46
55,AFG,2016,99.26,88.31,99.34,96.3,101.24
56,AFG,2017,94.43,77.08,94.22,94.79,93.87
57,AFG,2018,88.37,64.71,88.5,90.58,87.21
58,AFG,2019,96.85,82.83,96.97,87.05,103.16
59,AFG,2020,96.69,86.98,96.77,83.16,105.27
60,AFG,2021,95.98,68.49,96.05,80.61,105.68
61,AFG,2022,92.32,64.97,92.34,78.89,100.73
62,AFG,2023,94.5,70.57,94.36,76.78,105.33
63,AGO,1961,99.61,151.37,105.4,122.94,101.7
64,AGO,1962,103.97,148.84,110.71,125.33,107.62
65,AGO,1963,101.66,140.98,107.65,127.25,103.51
66,AGO,1964,109.05,151.91,115.24,134.2,111.24
67,AGO,1965,111.53,149.73,118.36,138.76,114.06
68,AGO,1966,114.94,134.74,122.04,141.21,118.0
69,AGO,1967,117.39,137.8,124.52,144.13,120.39
70,AGO,1968,110.2,135.22,118.89,142.95,113.82
71,AGO,1969,115.97,161.5,125.78,148.59,120.97
72,AGO,1970,116.34,145.66,127.02,157.12,120.67
73,AGO,1971,117.86,130.19,127.99,156.74,121.92
74,AGO,1972,111.91,122.86,119.76,150.77,113.23
75,AGO,1973,109.63,127.59,118.5,150.28,111.79
76,AGO,1974,105.65,114.37,115.9,147.59,109.22
77,AGO,1975,95.29,119.05,101.05,156.52,89.36
78,AGO,1976,74.92,116.54,80.09,138.18,67.84
79,AGO,1977,70.84,85.87,74.9,136.29,61.95
80,AGO,1978,65.8,89.96,70.04,135.81,56.17
81,AGO,1979,59.74,66.45,63.56,134.57,48.59
82,AGO,1980,61.39,77.16,63.21,132.3,48.64
83,AGO,1981,55.58,55.04,57.42,130.29,42.06
84,AGO,1982,54.02,52.87,56.14,130.84,40.39
85,AGO,1983,52.44,53.84,54.46,128.06,38.95
86,AGO,1984,51.42,49.61,53.26,125.38,38.06
87,AGO,1985,50.08,45.68,51.84,123.88,36.65
88,AGO,1986,50.3,48.65,52.02,123.15,37.03
89,AGO,1987,48.62,49.9,50.42,118.97,35.97
90,AGO,1988,46.99,44.58,48.89,115.74,34.79
91,AGO,1989,45.33,36.08,47.08,112.84,33.21
92,AGO,1990,43.61,32.17,45.34,112.14,31.26
93,AGO,1991,44.21,44.98,45.92,110.28,32.35
94,AGO,1992,45.91,47.15,47.49,113.66,33.54
95,AGO,1993,44.63,35.66,46.28,112.39,32.34
96,AGO,1994,48.72,33.43,50.29,106.93,38.35
97,AGO,1995,46.03,33.29,47.6,97.21,37.14
98,AGO,1996,48.07,54.47,49.59,109.94,36.87
99,AGO,1997,46.88,44.34,48.34,112.89,34.73
100,AGO,1998,52.74,57.9,54.05,116.51,40.88
101,AGO,1999,49.6,50.55,50.82,113.56,37.59
102,AGO,2000,55.95,47.23,57.11,117.6,44.35
103,AGO,2001,62.09,53.77,62.97,115.78,51.83
